hypothesis,references
Who was the chairman of the Board of Directors in 2002?,['Who was the chairman of the Board of Governors of the University of Notre Dame in the year of 2002?']
What is the term for the number of comb rows?,['What is the term for the number of comb rows that are used in the study of the economy?']
What was the name of the company that controlled the broadcasting of the game?,['What was the name of the company that was responsible for the decision to sell KXYZ to the NFL?']
What did the Lunar Module provide?,['What was the name of the person who was the only person to be able to change the name of the vessel?']
What is the name of the Ukrainian car manufacturer that owns the FSO Car Factory?,['What is the name of the Ukrainian car manufacturer that is responsible for the creation of the World Cup?']
When was the Palace on the Water built?,['What year did the Palace on the Water open?']
What was the name of the group that destroyed the church?,['What did John Paul II say was the reason for the separation of the Church of England from the Church of Scotland?']
What is the most distinctive feature of the Ctenophora?,"['What is one of the main reasons that the majority of the population of the United States uses the term ""ctenophora""?']"
What did Hutton say caused the decline in the population of the church?,['What did Hutton say was the main reason for the decline in the number of people in the Royal Society?']
In what year was the first written constitution created?,['What is the name of the group that created the new storage space for books in the city?']
What type of design did the University Library have?,['What was the name of the company that designed the locomotive used in the United States in the 1980s?']
What is the largest metropolitan area in Australia?,"['In 2010, what was the population of the largest metropolitan area in the world?']"
What is the name of the system in which the B-cell system is used?,['What is the name of the system that allows the B cell to control the majority of the population of a country?']
What is the name of the longest suspension bridge in Germany?,['What is the name of the longest suspension bridge used in the world?']
When was the National Climate Change Action Plan launched?,['What is the term for the outer chloroplast membrane?']
What is the term used to describe the amount of oxygen in the atmosphere?,['What is the term used to describe the amount of oxygen that can be extracted from a single atom?']
Who was the first person to win the Heisman Trophy?,['Who was the first person to win the Heisman Trophy in the US?']
What was the name of the device used by the Doctor?,['What was the name of the device used for the first time in the history of the show?']
What is one of the most dangerous occupations in the world?,['What is the name of the program that is used to determine the status of a member of the Royal Institute?']
What was the name of the person who led the invasion of France?,['What was the name of the person who was responsible for the creation of the European Economic Community (EEC) in the year of 2015?']
Who was the leader of the Scottish Parliamentary Corporate Body?,['Who was the leader of the Scottish Parliamentary Corporate Body at the time of the founding of the CSCN?']
What was the name of the private network in the San Francisco Bay Area?,['What was the name of the private network that operated in the San Francisco Bay area?']
In what year was the Royal Flemish Academy of Belgium for Science and the Arts established?,['In what year did the Royal Flemish Academy of Belgium for Science and the Arts become a part of the Royal Flemish Academy of Science?']
Who was the first person to land on the Moon?,['What was the name of the person who was the first person to land on the moon?']
Who created the NBC Blue Network?,['Who was responsible for the creation of the Northumbria-based BBC?']
What year did Roger II of Sicily become king?,['What was the name of the term used to describe the changing of the hearts and minds of people in the Alta Vista Tract?']
What year did The Talons of Weng-Chiang begin?,['In what year did The Talons of Weng-Chiang begin to be broadcast?']
Who was the founder of the United Methodist Church?,['Who was the first person to be a member of the U.S. military?']
What is the name of the person who was responsible for the most rainfall?,['What is the name of the person who was responsible for the most rainfall in the history of the United States?']
What year was the first known transatlantic radio transmission?,['In what year did the Supreme Court of the United States rule on the validity of the claim of the first transatlantic radio transmission?']
What caused the loss of the American colonies?,['What was the name of the group that destroyed most of the original equipment of the first British Empire?']
What was the name of the first known independent school?,['What was the name of the first known independent school in the United Kingdom?']
What was the purpose of the new lighting system?,['What was the main reason for the decrease in the number of oxygen atoms in the air?']
What was the name of the structure used to create the chao?,"['What was the name of the organization that created the rules for the use of the term ""chao""?']"
Who created the marble fireplace?,['Who created the marble fireplace at the end of the first century?']
What is the name of the process in which an external force acts on a system?,['What is the name of the process in which an external force causes the formation of a system?']
What was the purpose of the German Mass?,['What was the name of the two groups that did not want to do business with the British after the Treaty of Amsterdam?']
In what year did Martin Luther's father work for the government?,['What is the name of the organization that runs the private school system in the city?']
What was the name of the new version of the original logo?,['What was the name of the new name given to the new version of the old one?']
What does the Edict of Nantes mean?,['What does the Edict of Nantes mean for the people of the United States?']
In what country did the Battle of the Monongahela take place?,['What was the most important factor in the failure of the War of the Austrian Succession?']
What was the name of the first European settlement in New Zealand?,['What is the name of the area where the first European settlement was built?']
When was the Rococo Augustus Rex Bureau Cabinet constructed?,['In what year was the Rococo Augustus Rex Bureau Cabinet built?']
Who is Antigone trying to stop?,"['Who does the Nibelungenlied refer to as the ""king of the gods""?']"
